Name,Star Rating,Verifed Review,Helpful Vote Count,Date,Author,Author Link,Review Link,Review Text
"So far, so good (and dry)",5,YES,25," November 9, 2016",S. R. Southard,https://amazon.com//gp/profile/amzn1.account.AGSZHM2RWGDITBSSIWII5KIL7XNQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3V8GIDXRW18FA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I had my first opportunity to use the umbrella today. It worked well, and held up to a stiff wind, too. However, it's probably silly to rate an umbrella after one day's use. They all work on the first day. I suppose the extra (9th) rib helps it stand up to wind, but it also provides an additional point of potential failure as the umbrella ages. I'm used to buying umbrellas at the nearest drug store. They last a few years, then fail, either by leaking or more likely by a broken rib or broken shaft detent. I like umbrellas that collapse into a small package I can fit inside my briefcase. This is the first umbrella I bought on Amazon. As I say, so far, so good. However, I may update this review someday if the umbrella fails earlier than it should have."
Not really a lifetime warranty...,2,YES,On," July 10, 2018",Rico,https://amazon.com//gp/profile/amzn1.account.AHPMHF3SVDZNM4H4TU5LVFPU2TFQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1ZA3BN4C4N2HP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I bought this umbrella a few months ago and unfortunately, it broke while it was windy out. I think ""windproof"" is a bit much because it was pretty windy but the umbrella still broke. I emailed them and they refunded the purchase but never sent a new one. I emailed them about this and got no response so I ordered another and asked for a refund on the purchase and they said this one would have to break before I can get a refund, which just seems convoluted. Overall, the umbrella is nice but worth $20 at most and neither the handle nor circumference is very big. When its windy and rainy, you need something a little bigger or it'll go right around the umbrella and if you're wearing a backpack, you can expect it to be soaked. I would've been happy to have purchased it if their customer service was better about replacing a broken umbrella when asked instead of making me jump through the hoops."
"""THIS IS THE ONLY UMBRELLA YOU SHOULD EVER PURCHASE...IT IS A ""MUST-HAVE!""",5,YES,On," January 22, 2018",On The Fly,https://amazon.com//gp/profile/amzn1.account.AFEK5BXEPTJ4NQXJ2BOVD7TSP44A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RG5V0STY5XD0Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"First of all: I have no financial interest in this company nor have I received any incentive to write this review.  This umbrella is ""The Best of The Best!""for the following reasons:1. The frame is strong.2. The handle is strong.3. The open/close mechanism is easy to operate; reaction is swift: when opening and closing.4. THE FABRIC IS THICK AND REPELS WATER INSTANTLY. Also: The fabric is attached to the frame with strong thread and the stitching is secure.5. The size is perfect to stow in a purse, briefcase, backpack, etc.6. EXCELLENT QUALITY AND AFFORDABLE PRICE.7. The stowage sleeve is convenient and made of the same excellent Teflon fabric."
Most good quality umbrellas can't stand up to winds 20 mph,3,YES,2," April 25, 2018",Linann,https://amazon.com//gp/profile/amzn1.account.AHOQQUOG6JHT6OK5BPAOO7DU2PGQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2EYVBN7DSTD4G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I work in New Haven CT, and in the fall, and winter the wind comes right off the water, so I'm always in the market for an umbrella that will last for a couple of years. I learned from experience, that there is no such thing as an umbrella that can stand up to 50 mph. Most good quality umbrellas can't stand up to winds 20 mph. What I'm looking for is a strong auto open/close, and can stand up to heavy rains. This umbrella is very good quality, with a strong open/close button. I will update when needed, as of now I'm very happy with my purchase. Update: 6/11/18. I've used this a few times now, and the inside is starting to rust. I have never had an umbrella do this."
Decent umbrella compromised by poor-quality rivets,3,YES,3," October 15, 2017",Edward Ripley-Duggan,https://amazon.com//gp/profile/amzn1.account.AE44KV7LF7PV5VJBZJBI4ESLX6RQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1L9TUARABEK6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"The umbrella appears to be robust; I used it recently during rain and gusty winds in New York with no problems. However, though the ribs seem largely rustproof, I am disappointed to see visible rusting at a couple of the rivets where sections of the ribs are joined, in one case offsetting to the fabric of the umbrella. It makes no sense to me to construct a good frame from rust-resistant materials only to sacrifice that quality with cheap rivets. I‰Ûªm disappointed, though I‰Ûªll keep this."
it is still like new. Great construction,4,YES,On," August 14, 2016",MC Oddslice,https://amazon.com//gp/profile/amzn1.account.AEZ4KFB33KCAV62LEQCN4HR2ZHMQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2W29XIMWT45JI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Update: Too small! If there is wind, you will get wet. It kept my head and upper torso dry when I angled it toward the wind. After several months of use, it is still like new. Great construction. The automatic open and close still works, but if there is wind this is a child's umbrella, and you'd be better off with a rain coat, poncho, or bigger umbrella.I did NOT receive a discount for my opinion. This review is based on my initial impressions after receiving the product and nothing more.Packaging: Inside the shipping box, the umbrella did not come in a box of it's own. It was in a plastic sheathe that was slightly too short to encase the handle. The handle was protected by bubble wrap with a rubber band to hold it securely in place.Build: It was exactly as pictured. I expected the handle to be softer, like a gel, but it is a hard plastic with a rubber like surface for improved grip. The build looks sturdy, though I am a little concerned that bottom rod and top rods have a little bit of rotational wiggle. Also, there were some spare loose threads on the end of one of the spokes where it had been tied off. I expected to be able to feel some type of coating, but the fabric feels really thin, and I couldn't see or feel any difference.Functionality: BEWARE! When you first receive it the button may have been pressed already. I unwrapped the strap, and the umbrella sprang out immediately! Be sure you don't have it aimed at anyone, yourself included! I pressed the button, and it sprang closed. It did take some strength to push it back in. It may be difficult for children and some adults. The average person won't have a problem with it. I closed it and opened it 4 or 5 times. It performed consistently and flawlessly.Final Thoughts: It seems to be sturdy, and it opens and closes as it should. For $50.00 I'd like to have seen a gel handle on it, but it was on sale for $20.95, and didn't advertise a gel handle, so I can't take any points away for not being as advertised. We don't get much wind here in Missouri, but the price was right for having a lifetime warranty. I will update this rating after I've tried it in the rain, and or if the open/close mechanism fails."
For a tiny person,2,YES,On," May 25, 2018",AR,https://amazon.com//gp/profile/amzn1.account.AFEQZPPY7UKBOX5GVDTMD7SVDZ2A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3FPDTX7M8E0GN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I was excited to try out this umbrella based on its many reviews. However, once I received it, I was not impressed. The shaft of the umbrella was not very long so that meant that if I held this umbrella normally there would not be a lot of space between the top of my head and the top of this umbrella. And who wants to hold an umbrella super close like you're hugging it?Also, the width of the canopy was not great at all. It just barely covered most of my shoulders. Had I used this in actual rain, I'm pretty sure my shoulders and arms and back would've been soaked from lack of coverage.The construction of the umbrella distracted me from examining the quality of the material used. But I will say it didn't strike me as being heavy duty or anything.As I previously stated, overall I wasn't impressed with this product. I have returned it for a refund and a different product by a different brand and seller."
"Decent, a bit pricey?",4,YES,2," September 2, 2017",Alex Wang,https://amazon.com//gp/profile/amzn1.account.AEC3CNVO7ZBAIEKAECQEBAFF65ZA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R12Q4AXRJF7N6N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This umbrella is pretty good. never had a umbrella with fiberglass before so it felt like plastic to me (if thats how fiberglass is suppose to feel like then cool). I cant say how good this works with high winds cause i haven't had any, but so far it feels sturdy. The only thing i do not like is the opening and closing mechanism. Mine does not open 100% after pressing the button 100% of the time. The times it doesn't it opens more like 90-95%. And it is a bit expensive at 22 a pop"
Not consistent with reviews or description.,2,YES,3," June 20, 2017",Hannah,https://amazon.com//gp/profile/amzn1.account.AF6Y3MTHO6FTKR4OWPE4ZIPZ7VQQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1UX1K6T3MVQHA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I must have received a bad item or something because it's nothing like what the reviews or description made it out to be. Two stars only for the functioning open and close button and it holds up fairly well against the wind. Other than that, it's really wobbly, not water repellant at all, broke after about five uses. I am so disappointed in paying so much for an umbrella that pretty much doesn't live up to the description when I could have paid half for one that would last me longer. The ribs are starting to come undone from the string that attaches it to the umbrella. Wonder how long before al the other ribs start doing the same. I would be really weary about purchasing."
Seems well-built and well-designed.,5,YES,0," January 26, 2018",Terende,https://amazon.com//gp/profile/amzn1.account.AGIGN5OCJWCHBERPA242XEN4CNLA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3C9IS6HCDZ2EU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I bought two of these for my and my spouse's upcoming trip to the UK, where we'll most likely need something reliable and sturdy.  It's heavier, at close to a pound, than most cheaper compact umbrellas, but if that means it's built better (and it looks solid) it's worth it.  Pressing the open/close button causes it to spring open like a Batman utensil, so you'd better be clear of obstructions and/or fragile humans.  Pressing the button again causes the canopy to rapidly collapse, although it doesn't retract down the shaft back to the handle.  You have to push down from the top center of the canopy, where there is a hard disk for that purpose, until it clicks into place.  The pleats retain their shape so that you can easily re-store the umbrella back into the carrying sleeve looking like it did when first opened.  I won't know how it will hold up until we start our vacation, but will post an update if there are any problems."
