Lemma#PoS,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
0,0.09104044900000001,0.10188936800000001,0.167116461,0.065455893,0.135220504,0.291063671,0.064974737,0.083238917
1,0.121636905,0.116172549,0.118002753,0.119130569,0.13883705,0.164304729,0.10591118699999999,0.116004259
10,0.131860111,0.118659319,0.121393261,0.11191127199999999,0.138484847,0.143611016,0.106802784,0.127277389
100,0.170863303,0.128192539,0.104131795,0.093902636,0.107457325,0.117810557,0.106983404,0.170658442
1000,0.147027334,0.142150539,0.07638187,0.065646862,0.060772247,0.15571317199999998,0.09496881900000001,0.257339157
10000,0.094632855,0.17265862199999998,0.011131483999999999,0.003737293,0.586477761,0.046654602,0.009550914,0.07515647
1000th,0.0,0.336853157,0.0,0.0,0.0,0.41345631200000005,0.24969053,0.0
100th,0.320738407,0.146574328,0.11870161800000001,0.081067373,0.027685206,0.114831167,0.120824772,0.069577129
101st,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10th,0.096738339,0.064845042,0.122668246,0.099642699,0.12364605,0.18620568,0.097121648,0.20913229600000002
11,0.177897206,0.096849489,0.11309649599999999,0.099719965,0.122297037,0.137492375,0.092261174,0.160386259
110th,0.0,0.0,0.0,0.0,0.8414771759999999,0.11382058099999999,0.0,0.044702244
115th,0.09984252199999999,0.043501782,0.075163439,0.031544285,0.086844092,0.553967338,0.032245454,0.076891088
11th,0.10477251800000001,0.09656432300000001,0.11002176300000001,0.139172825,0.155789592,0.159299637,0.114702262,0.11967708
12,0.128104945,0.113074782,0.128914229,0.135941586,0.126543123,0.147443887,0.09117946,0.128797988
120,0.139766885,0.068872813,0.132692235,0.148781942,0.100386398,0.134018729,0.0929687,0.18251229800000002
120th,0.0,0.5961343339999999,0.0,0.0,0.0,0.182925036,0.22094063100000003,0.0
12th,0.081231724,0.09371828199999999,0.120536835,0.19555835300000002,0.130100878,0.167340059,0.10108006900000001,0.1104338
13,0.117910932,0.114334978,0.145873304,0.140896825,0.123826558,0.139509564,0.084954845,0.132692995
13th,0.119130027,0.118748263,0.06531608700000001,0.163622375,0.165593002,0.158735116,0.104351548,0.104503582
14,0.118779276,0.11432223400000001,0.12476875800000001,0.120012059,0.14030146599999999,0.148691874,0.097289158,0.135835175
144,0.220330353,0.026865338,0.09283717,0.196366084,0.089386984,0.102001846,0.10886201,0.163350214
14th,0.07532733700000001,0.071715335,0.143336315,0.130565499,0.177195004,0.178217972,0.103292994,0.120349543
15,0.153667121,0.106859497,0.12987369599999998,0.11493178300000001,0.116198829,0.141770415,0.086516718,0.15018194099999999
150th,0.0,0.0,0.6649562210000001,0.0,0.0,0.0,0.0,0.335043779
15th,0.073514429,0.09997681,0.160994638,0.146957167,0.153771367,0.15122786400000002,0.134384281,0.079173445
16,0.12904565699999998,0.12188765800000001,0.129866616,0.11422377800000001,0.143428203,0.145154694,0.085414911,0.130978484
16th,0.079148413,0.148971549,0.115399158,0.150740244,0.13829322800000002,0.165664966,0.093532734,0.10824970699999999
17,0.139306097,0.116387426,0.143710286,0.10634514699999999,0.112503798,0.162393922,0.08661067900000001,0.132742644
1728,0.102358984,0.0,0.089900862,0.0,0.20774352199999999,0.237207588,0.23140725199999998,0.131381793
17th,0.06330427200000001,0.101333583,0.054390818,0.138408401,0.174564821,0.165100926,0.108595259,0.194301919
18,0.12112540599999999,0.10751458400000001,0.123394744,0.10326171199999999,0.136209089,0.158883108,0.108108489,0.141502868
